HH,AREA,GEN,Age at last birthday (Years),AGE,EMP,OCC,EDU,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
A001-01,1,1,13,1,0,0,2,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0
A001-01,1,1,24,2,2,8,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
A001-01,1,2,48,3,4,0,3,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
A001-01,1,1,42,3,1,5,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A001-02,1,2,48,3,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001-02,1,1,30,3,1,5,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
A001-02,1,1,52,3,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001-04,1,1,23,2,1,5,3,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
A001-04,1,2,49,3,1,4,3,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A001-04,1,1,47,3,1,5,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
A001-06,1,2,17,2,5,0,3,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
A001-06,1,2,46,3,1,5,3,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
A001-06,1,1,45,3,1,5,2,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
A001-08,1,2,38,3,1,3,3,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A001-08,1,1,44,3,1,3,3,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0
A001-09,1,1,42,3,1,5,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
A001-09,1,2,39,3,1,5,2,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0
A001-09,1,1,23,2,5,0,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
A001-09,1,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A001-11,1,2,59,3,1,1,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
A001-12,1,2,12,1,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A001-12,1,2,31,3,1,2,4,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A001-12,1,1,36,3,1,7,2,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0
A001-12,1,2,38,3,1,2,4,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
A001-13,1,2,56,3,1,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
A001-13,1,1,56,3,1,3,4,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
A001-13,1,1,26,3,1,3,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A002-01,1,2,41,3,1,4,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A002-01,1,1,43,3,1,10,3,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
A002-01,1,1,43,3,1,10,3,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
A002-02,1,1,13,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A002-02,1,1,15,2,5,0,2,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1
A002-02,1,2,37,3,4,0,3,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
A002-02,1,1,39,3,1,10,2,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,3,0,0,6,1,1
A002-03,1,2,33,3,1,3,3,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
A002-03,1,1,15,2,5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-03,1,1,40,3,1,9,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-04,1,1,38,3,1,2,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A002-04,1,2,34,3,1,3,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A002-05,1,1,17,2,5,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A002-05,1,2,45,3,1,2,4,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A002-05,1,1,46,3,4,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
A002-05,1,1,11,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
